HOUSEHOLD_ID,DRIVER_ID,POLICY_ID,CLAIM_ID,INCIDENT_CAUSE,DESCRIPTION,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,PRIMARY_DRIVER_ID,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,PLATE,COLOR,INITIAL_ODOMETER,LOW_MILEAGE_USE,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,SSN,DRIVERS_LICENSE_ID,DRIVERS_LICENSE_EXPIRY,DRIVERS_LICENSE_STATE,DATE_AT_CURRENT_ADDRESS,CONTACT_NUMBER,EMAIL,COMMUTE_DISCOUNT
MG83193,XJB5149,XN9015815,A-2018-LF972,2,,3,118923.9,1/16/18,1/28/18,0,1,41.97517487,-87.7683442,2370,0,XJB5149,11/21/17,11/21/18,2007,Jeep,Renegade,KGAI436,Med Dk Blue,107052,1,Lavonne,Seachrist,F,11/26/77,026-12-7247,L783-7567-9623,7/31/18,IL,7/16/12,241-352-0754 ,lseachrist@beemail.com,0
IJ01709,CRP8660,SV1659058,A-2017-ML677,1,,1,182681.3,4/25/17,5/7/17,1,1,41.89017255,-87.64999164,26250,1,CRP8660,7/23/16,7/23/17,2009,Chevrolet,Equinox,KZHI056,Light Brown,177168,0,Milford,Pudelek,M,5/6/90,757-79-0592,L593-9477-8291,9/28/19,IL,11/26/04,237-895-0114 ,mpudelek@husshmail.com,0
BC94182,PEQ6155,UQ8163328,A-2018-WZ492,5,,1,160429.9,2/10/18,2/19/18,1,3,41.84065787,-87.72589914,25830,1,PEQ6155,7/11/17,7/11/18,2011,Nissan,Versa,FZEB641,Med Red,155820,0,Margret,Parizek,F,10/28/77,422-73-7053,B318-8209-8689,7/22/21,IL,2/23/07,221-587-0845 ,mparizek@husshmail.com,0
MF96553,PPI8400,OT0287150,A-2018-DI451,2,,1,165363.7,1/23/18,1/24/18,1,4,41.88470505,-87.66704583,23483,1,PPI8400,4/23/17,4/23/18,2010,Hyundai,Tucson,QWRA025,Med Dark Green,159408,0,Stephan,Kebe,M,6/5/79,677-32-8448,T337-9043-4676,11/26/21,IL,9/18/06,840-596-0633 ,skebe@mooosend.com,0
BC90853,JOA9170,TW2172802,A-2016-RW653,5,,3,240639.2,12/1/16,12/10/16,1,1,41.73618257,-87.64365982,2173.5,0,JOA9170,8/20/15,8/19/16,2005,Chevrolet,Express,DMGO766,Black,228228,0,Barton,Aristil,M,1/4/62,572-19-1787,K682-9535-3438,9/9/20,IL,5/16/99,232-384-0920 ,baristil@mooosend.com,0
AK42388,KNQ4268,PP7360289,A-2017-KO812,4,,3,388591.3,7/12/17,7/12/17,1,1,41.76203035,-87.61169575,1750,0,KNQ4268,4/17/16,4/17/17,2001,Dodge,Ram,HCCT626,Light Brown,379584,0,Adolfo,Ludvigson,M,12/17/80,577-65-7635,G412-3879-8304,3/10/21,IL,2/12/08,749-985-0925 ,aludvigson@mmail.com,0
HB16909,SRU2950,OY6516260,A-2016-CA740,1,,1,59498.7,1/6/16,1/8/16,1,1,42.00642207,-87.67812041,20310,1,SRU2950,4/18/15,4/17/16,2013,Kia,Optima,VPIX893,White,57024,0,Pablo,Yuson,M,11/14/92,674-71-5901,E815-9580-7246,1/22/21,IL,11/1/06,261-881-0294 ,pyuson@lightemail.com,0
FA97534,EHL9301,OS6708536,A-2018-PV577,1,,3,94043.6,10/13/18,10/25/18,0,1,41.81360176,-87.704338,2810,0,BIN1474,10/1/17,10/1/18,2014,Chevrolet,Colorado,RCGX530,Silver,81624,0,Kip,Martilla,M,8/7/81,390-56-9983,O712-6388-9447,10/7/19,IL,3/12/01,634-984-0329 ,kmartilla@gmxx.com,0
CF57572,CJY6373,QV4842191,A-2017-JI571,4,,3,69305.4,7/19/17,7/19/17,1,1,41.9969237,-87.80694519,2370,0,WKB8440,3/6/16,3/6/17,2014,Mazda,CX-5,CFHZ633,Light Brown,58644,0,Phil,Smets,M,4/22/35,619-49-9034,V580-5596-9033,10/25/21,IL,1/7/00,723-499-0260 ,psmets@fasstmail.com,0
ME37855,NCL2868,VT9807337,A-2018-CK215,5,,3,207764.4,11/4/18,11/13/18,0,1,41.95222752,-87.72742482,1320,0,NCL2868,1/14/17,1/14/18,2008,Chevrolet,Silverado,IABR557,Silver,206640,0,Edythe,Guikema,F,2/18/36,310-38-2514,L127-2171-5221,5/16/19,IL,5/5/05,836-822-0418 ,eguikema@mmail.com,0
LA79549,YWA1319,PU5439335,A-2017-FJ217,5,,1,302710,5/31/17,6/12/17,0,5,41.9768951,-87.69227967,30840,1,YWA1319,4/4/16,4/4/17,2001,Acura,MDX,CIEG457,Silver,301680,0,Debora,Kostic,F,4/15/52,899-34-7907,C909-6208-3289,4/28/19,IL,11/27/12,729-351-0694 ,dkostic@husshmail.com,0
II25056,CVI8835,OJ5466096,A-2017-YI133,4,,3,109080,3/1/17,3/13/17,0,3,41.88078079,-87.73023238,1230.5,0,CVI8835,5/20/16,5/20/17,2012,Dodge,Ram,DIPW431,Light Brown,101292,0,Elba,Nikolopoulos,F,9/12/88,173-56-7742,L306-9916-4447,12/8/18,IL,8/19/15,235-784-0008 ,enikolopoulos@zohoo.com,0
CK11297,HIR9014,RR5447110,A-2018-QW132,4,,3,69640.2,9/5/18,9/11/18,0,1,41.89275285,-87.76070937,1020,0,HIR9014,7/11/17,7/11/18,2015,Toyota,Prius,ZQIT260,Silver,57780,0,Shawna,Herrador,F,6/8/48,682-40-8477,T455-9174-4535,11/10/21,IL,7/18/14,723-821-0048 ,sherrador@life.com,0
KJ99727,MDE6706,RQ6230412,A-2018-AC526,2,,2,281332.9,12/14/18,12/19/18,1,1,41.9383457,-87.71230667,2470,0,MDE6706,5/17/17,5/17/18,2004,Honda,CR-V,FVGI062,Med. Dark Gray,276972,0,Francesca,Farrelly,F,7/23/65,184-39-3490,O234-3528-1371,10/18/20,IL,4/21/10,232-902-0602 ,ffarrelly@freshmaail.com,0
GF42714,NKZ8115,ST5381628,A-2016-RA233,1,,1,176864.1,7/14/16,7/25/16,0,2,41.90643022,-87.64830557,31020,1,NKZ8115,8/23/15,8/22/16,2008,Hyundai,Tucson,AIXJ529,White,169824,0,Eloisa,Carty,F,8/9/48,619-16-2595,U562-2653-5208,3/12/20,IL,11/22/02,723-262-0522 ,ecarty@inboux.com,0
BD67160,SAD8006,YS2739165,A-2018-CE386,3,,3,223253.6,11/26/18,11/30/18,0,1,41.89078197,-87.63125181,1890,0,SAD8006,2/8/17,2/8/18,2009,Toyota,Corolla,SEWV088,Med Red,212976,0,Tommie,Talaga,F,4/3/42,173-46-6340,Z180-6156-2491,9/9/20,IL,6/1/11,739-772-0739 ,ttalaga@lightemail.com,0
MJ57549,OGG2359,TO5690517,A-2018-CX480,3,,3,139853.9,7/20/18,7/20/18,0,1,41.89244415,-87.63720038,1932,0,OGG2359,8/3/17,8/3/18,2012,Hyundai,Tucson,JWIW436,Light Brown,134940,0,Joan,Toder,M,10/14/97,368-73-0211,X872-2345-2670,7/9/18,IL,8/27/13,821-774-0093 ,jtoder@lightemail.com,0
FI15095,MWA3612,NO2626234,A-2016-VA733,1,,3,210844.5,9/24/16,9/26/16,0,1,41.8181867,-87.7433186,1730,0,MWA3612,7/25/15,7/24/16,2005,Kia,Forte,WWFJ255,Black,199452,0,Norman,Robus,M,11/8/95,789-97-8931,J286-2558-6822,9/17/21,IL,1/3/00,748-836-0845 ,nrobus@yahoot.com,0
ID61421,EXX9506,YS0850770,A-2016-EL664,2,,3,282275.4,8/6/16,8/20/16,0,3,41.88241054,-87.63721144,2170,0,EXX9506,9/15/15,9/14/16,2004,Ford,E-Series,NWTR387,White,276624,0,Belinda,Laughon,F,1/19/81,463-86-6888,B796-7882-6341,5/20/18,IL,9/15/08,842-390-0006 ,blaughon@inboux.com,0
MA52163,LSI8871,QR4862688,A-2017-TP823,1,,1,224281.5,12/27/17,12/29/17,1,2,41.93136196,-87.72315142,20380,1,DLO2085,6/27/16,6/27/17,2007,Dodge,Ram,QWPG124,Silver,222168,0,Lloyd,Highbaugh,M,6/15/37,409-13-4199,V357-3958-1578,2/11/20,IL,9/7/08,235-727-0567 ,lhighbaugh@mmail.com,0
DH36190,HZO2953,RU4821935,A-2017-ZY438,5,,1,246553.7,10/7/17,10/10/17,1,1,41.81920073,-87.68457036,36190,1,HZO2953,3/16/16,3/16/17,2006,Toyota,Camry,JGIH775,Silver,245400,0,Elissa,Husmann,F,4/20/39,141-58-9588,S299-6049-4016,11/3/20,IL,2/9/06,745-989-0324 ,ehusmann@inboux.com,0
EA76874,WWL4334,OO6902604,A-2018-YO211,3,,1,193096,3/30/18,3/30/18,1,1,41.90191323,-87.70164516,27370,1,WWL4334,5/25/17,5/25/18,2008,Chevrolet,Traverse,WTSS934,Med Dk Blue,188184,0,Karina,Baehler,F,8/31/63,484-48-3708,Q874-7759-2892,4/22/21,IL,3/13/07,735-663-0507 ,kbaehler@fasstmail.com,0
HJ59908,VYN5700,NN5051378,A-2016-EH641,2,,3,68251,2/27/16,3/2/16,0,1,41.88332815,-87.62846744,2280,0,VYN5700,6/22/15,6/21/16,2010,Ford,Explorer,BOOJ912,White,61920,1,Garret,Lor,M,5/18/80,585-13-7095,M104-2165-8161,8/25/20,IL,7/22/09,745-914-0060 ,glor@mmail.com,0
EL79658,KYK1171,XN0256599,A-2017-VB796,1,,3,163689.5,12/28/17,1/9/18,0,3,41.84415759,-87.72469381,2360,0,KYK1171,5/27/16,5/27/17,2010,Honda,CR-V,VCIW471,Med Dk Blue,163044,0,Corina,Lindhout,F,2/4/54,294-58-5476,Y471-1407-3196,10/22/20,IL,11/10/07,258-791-0720 ,clindhout@zohoo.com,1
EF67827,GZS5253,ZO5517949,A-2018-PQ500,5,,1,434090,4/10/18,4/14/18,1,1,41.68942688,-87.65875179,34490,1,GZS5253,6/5/17,6/5/18,1998,Nissan,Sentra,SFZL388,Silver,432000,0,Heath,Constantin,M,3/26/47,162-38-7020,I275-9205-3978,4/10/20,IL,1/4/99,230-494-0682 ,hconstantin@zohoo.com,0
AE73680,ZLV8042,WO6936760,A-2017-LM549,3,,1,40609.9,4/27/17,5/10/17,1,1,42.0004435,-87.66085935,30350,1,ZLV8042,3/25/16,3/25/17,2014,Toyota,Corolla,CTVQ181,White,28386,1,Angelia,Sobey,F,11/21/92,135-08-8872,Q191-7070-6656,10/24/21,IL,9/2/12,232-227-0074 ,asobey@mooosend.com,0
BA95213,XWX7008,VP6479927,A-2016-XT283,3,,1,241219.8,4/27/16,5/5/16,1,3,41.86730472,-87.64397388,27310,1,XWX7008,9/20/15,9/19/16,2004,Kia,Optima,BMFT529,Silver,234144,0,Chung,Calavan,M,2/3/36,367-48-9959,L931-4829-7982,1/7/19,IL,7/21/17,723-224-0927 ,ccalavan@outloop.com,0
BH63677,MNG4882,YY4764753,A-2016-MF411,1,,1,243194.9,7/4/16,7/7/16,1,3,41.93457199,-87.78566027,25210,1,MNG4882,10/21/15,10/20/16,2004,Chevrolet,Camaro,EUAY902,White,233424,0,Tessa,Jugan,F,3/27/49,595-10-6395,R895-9819-1167,12/20/21,IL,2/6/99,751-245-0239 ,tjugan@outloop.com,0
CJ75179,JGL7271,XO0903670,A-2018-IX762,5,,2,50221.6,12/7/18,12/10/18,1,1,41.89506294,-87.7530869,2950,0,JGL7271,3/26/17,3/26/18,2016,Chevrolet,Colorado,ALET311,Silver,36720,0,Chasity,Brode,F,3/2/41,771-51-3470,Z493-6758-8084,6/1/18,IL,9/13/08,824-658-0711 ,cbrode@fasstmail.com,0
JH82234,MXU1596,UX1515385,A-2016-YK142,2,,3,347421,9/18/16,9/29/16,0,1,41.86252459,-87.64213178,1210,0,MXU1596,5/19/15,5/18/16,1998,Subaru,Impreza,LGKI253,Silver,339984,0,Marquis,Jastrab,M,6/28/80,125-62-6381,S404-3346-8684,12/21/18,IL,6/18/10,736-592-0129 ,mjastrab@freshmaail.com,0
KL27559,KGC9647,QX1087376,A-2017-VS697,5,,1,93436.3,11/7/17,11/21/17,1,1,41.77455256,-87.68336926,19340,1,KDR2343,5/21/16,5/21/17,2013,Toyota,Rav-4,MWFR194,Silver,84348,0,Thurman,Amis,M,1/18/86,867-43-0315,O298-6752-2088,3/31/20,IL,7/27/99,221-411-0804 ,tamis@fasstmail.com,0
FM37273,RYT3714,SS8033919,A-2017-YO261,1,,3,42931.6,5/26/17,6/2/17,0,3,41.89679903,-87.70315361,2560,0,RYT3714,3/27/16,3/27/17,2015,Hyundai,Sonata,HAFY632,Silver,40212,0,Maryann,Guadian,F,1/6/58,808-35-9985,P780-8697-1739,10/23/18,IL,5/25/16,357-465-0678 ,mguadian@yahoot.com,0
AG14753,GMS3368,OP0488234,A-2017-MJ827,1,,3,86881.4,11/24/17,12/2/17,0,1,41.88770538,-87.62058814,2550,0,GMS3368,4/3/16,4/3/17,2013,Nissan,Altima,GZLU426,Silver,79524,0,Jamal,Pollmann,M,6/1/36,079-31-6534,J144-7667-4809,4/8/19,IL,4/23/99,735-548-0345 ,jpollmann@freshmaail.com,0
MF26358,URL8316,NR7986744,A-2018-MK237,2,,3,47333.9,10/1/18,10/1/18,0,1,41.70344854,-87.68138191,1350,0,URL8316,7/1/17,7/1/18,2016,Toyota,Corolla,LCJK787,White,37872,0,Rosa,Lambey,F,7/12/73,500-80-0804,J129-6438-4587,12/2/18,IL,3/25/05,232-961-0842 ,rlambey@fasstmail.com,0
LM58734,KPQ4157,YX8982998,A-2018-TT969,3,,3,245549,3/20/18,3/24/18,0,4,41.92834542,-87.6684029,1180,0,KPQ4157,6/2/17,6/2/18,2008,Buick,Enclave,RRHN760,White,232920,0,Horace,Mathesius,M,10/11/61,869-70-2920,G840-4521-6716,11/13/19,IL,1/25/07,348-729-0078 ,hmathesius@yahoot.com,0
HE69325,WVA4800,ZZ8124639,A-2017-VV444,5,,1,45802.6,1/26/17,2/4/17,0,1,41.80107195,-87.58174032,34994.5,1,WVA4800,7/17/16,7/17/17,2015,Kia,Soul,USOF558,Silver,44904,0,Dorian,Ziering,M,7/22/69,047-40-9266,F775-2634-3845,12/10/18,IL,6/27/07,741-967-0745 ,dziering@yahoot.com,0
AH19995,AKN9070,TQ9596648,A-2016-BE830,5,,3,251473.2,11/17/16,11/18/16,0,1,41.8776941,-87.75352928,16680,0,AKN9070,8/19/15,8/18/16,2004,GMC,Sierra,JWLU704,Light Brown,238752,0,Claudio,Kamat,M,5/4/71,889-21-7664,X701-8626-3214,9/6/19,IL,8/11/15,735-377-0720 ,ckamat@mmail.com,0
KH42441,ZTE2349,YS2996375,A-2017-QO316,3,,1,45797.8,5/26/17,6/5/17,1,3,42.00830436,-87.67818538,14480,1,ZTE2349,7/14/16,7/14/17,2015,Ford,F-150,BJAH825,Light Brown,42864,0,Tracie,Freerksen,F,9/10/88,092-21-4340,F129-5494-2295,5/2/21,IL,1/9/15,736-517-0798 ,tfreerksen@inboux.com,0
BK87192,GTF4097,ZX0110603,A-2016-VA425,1,,3,88939.1,11/28/16,12/2/16,1,1,41.93064372,-87.68536822,1817,0,GTF4097,1/22/15,1/22/16,2012,Ford,E-Series,NTBC226,Silver,77328,0,Bart,Hanniford,M,1/20/47,581-49-3586,A573-9324-7524,9/28/20,IL,8/7/02,221-305-0141 ,bhanniford@beemail.com,0
HK75384,HWB1910,UV1284533,A-2018-VC280,1,,3,255525.6,7/12/18,7/15/18,0,1,41.96457585,-87.74287565,2780,0,HWB1910,6/24/17,6/24/18,2007,Nissan,Pathfinder,WIVB188,Med Red,254364,0,Augusta,Cheathem,F,8/22/80,306-06-7315,A117-6082-5310,7/1/19,IL,1/13/00,237-615-0723 ,acheathem@yahoot.com,0
KG46105,IYO5987,ZT3653138,A-2016-WW107,3,,3,262087.5,2/7/16,2/20/16,1,1,41.69954742,-87.64275192,2480,0,IYO5987,9/26/15,9/25/16,2004,Dodge,Ram,OVOS293,Black,251424,0,Paige,Mcleroy,F,4/22/72,739-64-7587,B394-4024-6311,6/28/20,IL,8/9/16,723-583-0068 ,pmcleroy@outloop.com,0
BC81148,TYI3593,TV1098462,A-2018-JD560,5,,3,356670.1,5/6/18,5/17/18,0,1,41.72258206,-87.57504199,1173,0,TYI3593,7/18/17,7/18/18,2001,Honda,Pilot,LWTV169,Silver,348132,0,Silvia,Camey,F,3/17/58,464-84-2765,P947-3249-2285,6/28/20,IL,8/8/14,238-221-0831 ,scamey@outloop.com,0
DB54325,YDC9744,RW8719560,A-2017-TQ395,1,,1,248401.6,9/30/17,10/9/17,0,1,41.73153777,-87.58567864,21920,1,YDC9744,5/21/16,5/21/17,2006,Chrysler,300,FOHT388,Light Brown,242628,0,Lavonne,Mest,F,3/23/69,639-95-1132,A309-3885-6676,3/3/19,IL,8/26/03,749-903-0705 ,lmest@gmxx.com,0
FB97223,LKE7989,PP2891277,A-2018-YJ218,3,,1,247662.7,3/13/18,3/13/18,1,2,41.89713934,-87.7361474,33080,1,LKE7989,1/16/17,1/16/18,2007,Mazda,CX-5,MZVJ362,Black,237732,0,Wilson,Chavis,M,7/18/75,121-99-0480,U470-5050-8688,5/21/19,IL,8/10/07,265-357-0603 ,wchavis@mooosend.com,0
FF78473,JTG5046,VU5501162,A-2017-CI379,4,,3,201218.5,4/15/17,4/24/17,0,1,41.73600895,-87.65571261,1510,0,JTG5046,5/13/16,5/13/17,2008,Toyota,Tacoma,BNBL630,White,198636,0,Sonny,Coppolo,M,4/3/88,444-75-5931,I155-5409-6335,10/4/21,IL,8/27/16,265-314-0571 ,scoppolo@yahoot.com,0
DH59066,VVM4056,VX5016451,A-2018-AK442,2,,1,77539.8,2/26/18,3/11/18,1,1,41.9471065,-87.68811976,35920,1,VVM4056,4/5/17,4/5/18,2015,GMC,Sierra,YICG726,Silver,66900,0,Benita,Pasalo,F,8/1/88,756-34-3050,C843-3935-5491,6/12/18,IL,4/22/08,230-281-0130 ,bpasalo@zohoo.com,0
KG24084,KJB7332,VV3512076,A-2018-RQ481,5,,1,414306.8,1/19/18,2/1/18,0,1,41.9140602,-87.74602773,20230,1,KJB7332,4/22/17,4/22/18,2000,Audi,Q5,UACM064,White,400860,0,Jere,Severyn,M,5/31/44,305-52-4981,N441-2416-3252,2/5/21,IL,6/13/04,247-426-0708 ,jseveryn@mmail.com,0
LM65123,GDD4857,QS9761555,A-2016-NH551,2,,3,149077.6,11/8/16,11/8/16,0,1,41.88579694,-87.64570081,2170,0,GDD4857,10/14/15,10/13/16,2010,GMC,Acadia,KRIR350,Med Dk Blue,136728,0,Wilford,Peets,M,5/16/71,291-58-8054,J150-5830-9359,10/9/19,IL,9/25/17,221-818-0906 ,wpeets@mooosend.com,0
BB27788,SGU2312,WS1519983,A-2016-EF136,5,,1,325260.6,9/28/16,10/4/16,0,1,41.8912077,-87.64893961,34200,1,SGU2312,2/8/15,2/8/16,2000,Dodge,Grand Caravan,VTFI995,Silver,313728,0,Edgar,Decaire,M,2/25/64,438-65-0793,L663-7469-3623,5/10/21,IL,7/14/17,324-510-0600 ,edecaire@fasstmail.com,0
JB33981,JAG1187,UT3981430,A-2016-HO697,1,,3,34151.1,10/31/16,11/14/16,0,1,41.87195364,-87.76334923,2277,0,JAG1187,10/4/15,10/3/16,2013,Chevrolet,Silverado,BIZM948,Light Brown,32148,1,Irvin,Trouba,M,4/29/89,282-24-3163,Y673-7837-8504,10/19/18,IL,6/15/06,748-916-0791 ,itrouba@inboux.com,0
AD49282,QVM1911,YT2430777,A-2018-PS683,1,,3,349263.8,5/28/18,6/3/18,0,1,41.90080611,-87.61972396,2850,0,QVM1911,11/2/17,11/2/18,2000,Dodge,Ram,VAUG291,Med Red,339120,0,Tracey,Jermany,M,10/2/85,535-40-2316,D186-7740-8351,11/19/18,IL,6/6/00,748-247-0191 ,tjermany@mailjeep.com,0
MB74980,HEX2175,NR5020416,A-2016-IT228,1,,3,58439.6,1/12/16,1/20/16,0,1,41.81674857,-87.61646799,1550,0,HEX2175,1/10/15,1/10/16,2013,Dodge,Ram,IJKJ987,Med Red,54072,0,Tanya,Jurden,F,7/11/01,602-64-5352,Z646-1639-4271,3/24/18,IL,2/15/04,836-550-0297 ,tjurden@gmxx.com,0
